Kelas,Precision,Recall,F1,mAP50,mAP50-95
A,1.0,0.9333,0.9655,0.9665,0.7769
B,1.0,0.9032,0.9492,0.9515,0.772
C,1.0,0.9032,0.9492,0.9515,0.7394
D,1.0,0.871,0.931,0.9355,0.7578
E,1.0,0.9032,0.9492,0.9515,0.7407
F,1.0,0.9,0.9474,0.95,0.6982
G,1.0,0.9355,0.9667,0.9675,0.8002
H,1.0,0.9355,0.9667,0.9675,0.843
I,1.0,0.7097,0.8302,0.8548,0.6842
J,1.0,0.8065,0.8929,0.9032,0.7564
K,1.0,0.7742,0.8727,0.887,0.6699
L,1.0,0.871,0.931,0.9355,0.788
M,0.8387,0.8387,0.8387,0.8422,0.6874
N,0.92,0.7667,0.8364,0.8597,0.7251
O,1.0,0.8065,0.8929,0.9032,0.7472
P,1.0,0.9032,0.9492,0.9515,0.7595
Q,1.0,0.7097,0.8302,0.8548,0.6718
R,1.0,0.8387,0.9123,0.9193,0.7611
S,1.0,0.9355,0.9667,0.9675,0.7211
T,0.913,0.6774,0.7778,0.7932,0.6429
U,1.0,0.7097,0.8302,0.8548,0.7
V,1.0,0.7419,0.8519,0.8709,0.7311
W,1.0,0.9355,0.9667,0.9675,0.7973
X,0.8846,0.7667,0.8214,0.8603,0.6717
Y,1.0,0.6,0.75,0.8,0.6231
Z,1.0,0.9032,0.9492,0.9515,0.7759
