Kelas,Precision,Recall,F1,mAP50,mAP50-95
A,1.0,0.9667,0.9831,0.983,0.8259
B,1.0,0.9677,0.9836,0.9836,0.8254
C,1.0,0.9677,0.9836,0.9836,0.8284
D,1.0,1.0,1.0,0.995,0.838
E,1.0,0.9677,0.9836,0.9836,0.7661
F,1.0,0.9667,0.9831,0.983,0.7502
G,1.0,1.0,1.0,0.995,0.8515
H,1.0,1.0,1.0,0.995,0.8683
I,1.0,0.9677,0.9836,0.9836,0.7864
J,1.0,0.9677,0.9836,0.9836,0.8312
K,1.0,1.0,1.0,0.995,0.7592
L,1.0,0.9355,0.9667,0.9675,0.8348
M,0.9333,0.9032,0.918,0.926,0.7814
N,1.0,0.9333,0.9655,0.9665,0.8365
O,1.0,0.9355,0.9667,0.9675,0.7882
P,1.0,0.9677,0.9836,0.9836,0.7825
Q,1.0,0.9677,0.9836,0.9836,0.7725
R,1.0,0.7742,0.8727,0.887,0.7701
S,1.0,0.9677,0.9836,0.9836,0.7592
T,0.931,0.871,0.9,0.894,0.7157
U,1.0,0.9355,0.9667,0.9675,0.8068
V,0.9677,0.9677,0.9677,0.982,0.8654
W,1.0,1.0,1.0,0.995,0.8372
X,0.9231,0.8,0.8571,0.8827,0.7204
Y,1.0,0.9333,0.9655,0.9665,0.8238
Z,0.9355,0.9355,0.9355,0.9556,0.7984
