Kelas,% Train,% Valid,% Test,Selisih Maks (pp),Seimbang
A,3.86,3.87,3.75,0.12,Ya
B,3.86,3.75,3.87,0.12,Ya
C,3.84,3.87,3.87,0.03,Ya
D,3.84,3.87,3.87,0.03,Ya
E,3.84,3.87,3.87,0.03,Ya
F,3.86,3.87,3.75,0.12,Ya
G,3.84,3.87,3.87,0.03,Ya
H,3.84,3.87,3.87,0.03,Ya
I,3.86,3.75,3.87,0.12,Ya
J,3.86,3.75,3.87,0.12,Ya
K,3.84,3.87,3.87,0.03,Ya
L,3.86,3.75,3.87,0.12,Ya
M,3.84,3.87,3.87,0.03,Ya
N,3.86,3.87,3.75,0.12,Ya
O,3.84,3.87,3.87,0.03,Ya
P,3.84,3.87,3.87,0.03,Ya
Q,3.86,3.75,3.87,0.12,Ya
R,3.84,3.87,3.87,0.03,Ya
S,3.84,3.87,3.87,0.03,Ya
T,3.84,3.87,3.87,0.03,Ya
U,3.84,3.87,3.87,0.03,Ya
V,3.84,3.87,3.87,0.03,Ya
W,3.84,3.87,3.87,0.03,Ya
X,3.86,3.87,3.75,0.12,Ya
Y,3.86,3.87,3.75,0.12,Ya
Z,3.84,3.87,3.87,0.03,Ya
